,check_1,check_2,title,year,author1_surname,author1_givenname,author2_surname,author2_givenname,gender_author1,gender_author2,type,country,wordcount,language,translated,adaptation (read comment),horror,detective,sci-fi,fantasy,romantic,gothic,historical,feminist fiction,mystery,adventure,tragedy,children,regency,manners,philosophical,coming-of-age,filename
ejs345,aaa429,,The Riddle of the Frozen Flame,1920,Hanshew,Mary,Hanshew,Thomas,Female,Male,Novel,United States,63606,English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hanshew_TheRiddleOfTheFrozenFlame.txt
sh785,sc2538,sl2324,The Return of Sherlock Holmes,1905,Doyle,Arthur Conan,,,Male,,Novel,United Kingdom,"112,707",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,the_return_of_sherlock_holmes.txt
yw783,mdn53,le94,The Red House Mystery,1922,Milne,Alan Alexander,,,Male,,Novel,United Kingdom,"60,099",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Milne_TheRedHouseMystery.txt
nca28,tl566,stw43,The Planet Savers,1958,Bradley,Marion Zimmer,,,Female,,Novel,United States,,English,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bradley_ThePlanetSavers.txt
aac64,lrs263,stw43,The Picture of Dorian Gray,1890,Wilde,Oscar,,,Male,,Novel,Ireland,79151,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,wilde-the-picture-of-dorian-gray.txt
gs542,qjt3,sjs457,The Phantom of the Opera,1909,Leroux,Gaston,,,Male,,Novel,France,82786,French,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leroux_ThePhantomoftheOpera.txt
hl2423,,,The Paradise Mystery,1921,Fletcher,Joseph Smith,N/A,N/A,Male,N/A,Novel,United States,"76,893",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,the-paradise-mystery.txt
aac64,lrs263,stw43,The Old Man in the Corner,1908,Orczy,Baroness Emmuska,,,Female,,Short Stories,Hungary,70217,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orczy-the-old-man-in-the-corner.txt
mab558,itb23,ejs337,The Night Land,1912,Hodgson,William Hope,,,Male,,Novel,United Kingdon,"197,199",English,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hodgson_TheNightLand.txt
itb23,lc743,srs366,The Narrative of Sojourner Truth,1850,Gilbert,Olive,Truth,Sojourner,Female,Female,Novel,United States,"35,138",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gilbert_SojournerTruth.txt
cl922,lqz4,gs542,The Mystery of the Hasty Arrow,1917,Green,Anna Katharine,,,Female,,Novel,United States,92802,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Green_TheMysteryOfTheHastyArrow.txt
mab583,,,The Mystery of Orcival,1867,Gaboriau,Emile,,,Male,,Novel,France,"104,610",French,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gaboriau_Mystery_of_Orcival.txt
gsh68,lrs263,sh785,The Mysterious Affair at Styles,1920,Christie,Agatha,,,Female,,Novel,England,"59,000",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,the_mysterious_affair_at_styles.txt
sb844,khk58,jk2345,The Mysteries of Udolpho,1794,Radcliffe,Ann Ward,,,Female,,Novel,England,"290,239",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Radcliffe_TheMysteriesofUdolpho.txt
emg223,aac64,qjt3,The Murder on the Links,1923,Christie,Agatha,N/A,N/A,Female,N/A,Novel,United Kingdom,64457,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The_Murder_on_the_Links.txt
kwy3,cl922,hk627,The Moonstone,1868,Collins,Wilkie,N/A,N/A,Male,N/A,Novel,United Kingdom,"196,534",English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,collinswilkie_the_moonstone.txt
hz542,nsg57,bkc52,The Moon and Sixpence,1919,Maugham,W. Somerset,,,Male,,Novel,United Kingdom,75028,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Maugham_MoonAndSixpence.txt
mab558,itb23,ejs337,The Mill On The Floss,1860,Eliot,George,,,Female,,Novel,United Kingdom,"207,482",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Eliot_TheMillOnTheFloss.txt
sx236,nsg57,cc2583,The Middle of Things,1922,Fletcher,Joseph Smith,,,Male,,Novel,United Kingdom,"73,523",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The_Middle_Of_Things_Fletcher.txt
yz2685,pav35,avb37,The Memoirs of Sherlock Holmes,1893,Conan Doyle,Arthur,N/A,N/A,Male,N/A,Short stories,United Kingdom,"88,301",English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,memoirs_of_sherlock_holmes.txt
qjt3,dg588,jmt348,The Man in the Brown Suit,1924,Christie,Agatha,N/A,N/A,Female,N/A,Novel,United Kingdom,75251,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,man_in_the_brown_suit.txt
scw222,,,The Man in Lower Ten,1909,Rinehart,Mary Roberts,,,Female,,Novel,United States of America,"64,814",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rinehart_LowerTen.txt
tj256,mn454,ab2226,The Man,1905,Stoker,Bram,,,Male,,Novel,United Kingdom,105482,English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,stoker_theman.txt
khk58,ax39,mn454,The Luckiest Girl in the School,1916,Brazil,Angela,,,Female,,Novel,United Kingdom,"72, 904",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,brazil_theluckiestgirlintheschool.txt
jk2345,ax39,fhh26,The Lost Kafoozalum,1960,Ashwell,Pauline,N/A,N/A,Female,N/A,Novel,England,"22,418",English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ashwell_The_Lost_Kafoozalum.txt
jcv67,ja532,gc386,The Lighthouse,1865,R.M.,Ballantyne,,,Male,,Novel,Scotland,"490,300",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,the_lighthouse.txt
js2896,yr97,thh55,The Lerouge Case,1866,Gaboriau,Emile,N/A,N/A,Male,N/A,Novel,France,123709,English,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gaboriau_TheLerougeCase.txt
hgr26,yz2685,cl922,The Leavenworth Case,1878,Green,Anna Katharine,,,Female,,Novel,United States,110709,English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Green_LeavenworthCase.txt
aj656,,,The Last Stroke: A Detective Story,1896,Lynch,Lawrence,,,Male,,Novel,United States,,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The-Last-Stroke.txt
ac2687,nca28,sb844,The Last Man,1826,Shelley,Mary,N/A,N/A,female,,Novel,England,174792,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WollstonecraftShelley_TheLastMan.txt
avb37,ss3697,yw783,The Lances of Lynwood,1855,Yonge,Charlotte M,,,Female,,Novel,United Kingdom,57272,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CMYonge_Lances_Lynwood.txt
jk2345,ax39,fhh26,The Lake of Wine,1898,Capes,Bernard,N/A,N/A,Male,N/A,Novel,England,"117,699",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Capes_THE_LAKE OF_WINE.txt
le94,yk499,wms87,The Lair of the White Worm,1998,Stoker,Bram,N/A,N/A,Male,N/A,Novel,United Kingdom,"55,164",English,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stoker_TheLairOfTheWhiteWorm.txt
dg588,cc2583,dgr73,The Lady of the Shroud,1909,Bram,Stoker,,,Male,,Novel,England,"127,252",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stoker_LadyOfTheShroud.txt
kjm258,ejs345,yld3,The King of Elfland's Daughter,1928,Dunsany,Lord,,,Male,,Novel,England,69381,English,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dunsany_TheKingOfElflandsDaughter.txt
jlp367,icr6,laf229,The Jewel of Seven Stars,1903,Stoker,Bram,,,Male,,Novel,United Kingdom,"89,413",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stoker_TheJewelOfSevenStars.txt
yc2669,xf89,thh55,The Innocence of Father Brown,1925,Chesterton,Gilbert Keith,,,Male,,Novel,United Kingdom,"79,091",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chesterton_TheInnocenceOfFatherBrown.txt
